kategorie,zarizeni,nazev_poskytovatele,adresa_poskytovatele,ico,nazev_zarizeni_poskytovatele,vedouci_zarizeni,adresa_zarizeni_poskytovatele,datum_sluzba_od,forma_poskytovani_soc_sluz,cilova_skupina_klientu,vekova_kategorie,pocet_luzek,provozni_doba,kontakty
odlehčovací služby,Odlehčovací služby (9192823),Církevní střední zdravotnická škola s.r.o.,"Grohova 112/16, Brno-střed, Veveří, 602 00 Brno 2",27681866,Terénní odlehčovací služby,Bc. Petra Brabcová,"Grohova 112/16, Brno-střed, Veveří, 602 00 Brno 2",1.1.2015,terénní,"osoby s chronickým onemocněním
osoby s jiným zdravotním postižením
osoby s kombinovaným postižením
osoby s mentálním postižením
osoby s tělesným postižením
osoby se sluchovým postižením
osoby se zdravotním postižením
osoby se zrakovým postižením
rodiny s dítětem/dětmi
senioři",bez omezení věku,"počet klientů - 13
měsíční kapacita",poskytuje nepřetržitě,"['541 246 863', '541 241 576', 'pece@grohova.cz']"
odlehčovací služby,Odlehčovací služby (7829833),Clementas Kolín z.ú.,"Mlékovice 66, Toušice, 281 44 Zásmuky",27023915,Clementas Kolín,Ing. Bc. Renata Prokešová,"Rimavské Soboty 923, Kolín II, 280 02 Kolín 2",16.5.2011,pobytové,"osoby s chronickým duševním onemocněním
osoby s chronickým onemocněním
senioři","dospělí (27 – 64 let)
mladší senioři (65 – 80 let)
starší senioři (nad 80 let)",počet lůžek - 12,poskytuje nepřetržitě,"['777 334 419', 'prokesova@senior-centrum-kolin.cz', 'plajnerova@senior-centrum-kolin.cz', 'www.senior-centrum-kolin.cz']"
odlehčovací služby,Odlehčovací služby (7784697),"Česká alzheimerovská společnost, o.p.s.","Šimůnkova 1600/5, Praha 8-Kobylisy, 182 00 Praha 82",66000971,Respitní péče České alzheimerovské společnosti,Mgr. Martina Mátlová,"Šimůnkova 1600/5, Praha 8-Kobylisy, 182 00 Praha 82",1.1.2007,terénní,"osoby s chronickým duševním onemocněním
senioři
Jedná se o osoby s demencí.","dospělí (27 – 64 let)
mladší senioři (65 – 80 let)
starší senioři (nad 80 let)","počet klientů - 30
30 klientů ročně - t.j. cca 600 hodin péče měsíčně","pondělí:
8:00 - 19:00
úterý:
8:00 - 19:00
středa:
8:00 - 19:00
čtvrtek:
8:00 - 19:00
pátek:
8:00 - 19:00
sobota:
neděle:","['283 880 346', 'info@alzheimer.cz', 'www.alzheimer.cz']"
odlehčovací služby,Odlehčovací služby (6661832),"DECENT Hulín, příspěvková organizace","Eduarda Světlíka 1197, 768 24 Hulín",47934344,"DECENT Hulín, příspěvková organizace","Anna Pecháčková, DiS.","Nábřeží 1314, 768 24 Hulín",1.1.2019,terénní,"osoby s jiným zdravotním postižením
osoby s kombinovaným postižením
osoby s tělesným postižením
osoby se zdravotním postižením
senioři","dospělí (27 – 64 let)
mladší senioři (65 – 80 let)
starší senioři (nad 80 let)","počet klientů - 1
Územní působnost: Hulín a místní části Záhlinice a Chrášťany, Pravčice, Břest, Skaštice, Žalkovice, Kyselovice, Záříčí a Chropyně","pondělí:
6:00 - 20:00
úterý:
6:00 - 20:00
středa:
6:00 - 20:00
čtvrtek:
6:00 - 20:00
pátek:
6:00 - 20:00
sobota:
6:00 - 20:00
neděle:
6:00 - 20:00","['573 352 555', '573 352 929', 'pecovatelskasluzba@decenthulin.cz', 'www.decent.hys.cz']"
odlehčovací služby,Odlehčovací služby (6907978),"Dětské centrum Jilemnice, příspěvková organizace","Roztocká 994, 514 01 Jilemnice",68247877,Dětské centrum Jilemnice,Jaroslava Řehořková,"Roztocká 994, 514 01 Jilemnice",1.1.2018,pobytové,"osoby s chronickým onemocněním
osoby s jiným zdravotním postižením
osoby s kombinovaným postižením
osoby s mentálním postižením
osoby s tělesným postižením
osoby se zdravotním postižením",Služba bude poskytována osobám do 30 let.,počet klientů - 2,poskytuje nepřetržitě,"['481544208', 'dcjilemnice@iol.cz', 'www.dcjilemnice.cz']"
odlehčovací služby,Odlehčovací služby (8030656),"DĚTSKÝ KLÍČ Šumperk, o.p.s.","Kozinova 35/5, Šumperk, 787 01 Šumperk 1",25852957,Odlehčovací byt Dětského klíče,Ing. Věra Nedomová,"Jeremenkova 1784/52, Šumperk, 787 01 Šumperk 1",1.1.2010,pobytové,"osoby s kombinovaným postižením
osoby s diagnózou poruchy autistického spektra","- děti předškolního věku (3 - 7 let), mladší děti (7 - 10 let), starší děti (11 - 15 let), dorost (16 - 18 let), mladí dospělí (19 - 26 let), dospělí (27 - 64 let)","počet lůžek - 2
Okamžitá kapacita - 2 klienti. Kapacita jsou 2 klienti, z důvodu dvou lůžek, v jeden den se mohou ve službe vystřídat až 4 klienti (dava opustí službu dopoledne a dva nový příjdou odpoledne).","pondělí:
15:00 - 23:59
úterý:
0:00 - 9:30, 15:00 - 23:59
středa:
0:00 - 9:30, 15:00 - 23:59
čtvrtek:
0:00 - 9:30, 15:00 - 23:59
pátek:
0:00 - 9:30, 15:00 - 23:59
sobota:
0:00 - 9:30 - Na základě individuální poptávky poskytujeme pobytovou službu nepřetržitě.
neděle:",['neuvedeny']
odlehčovací služby,Odlehčovací služby (4336897),Diakonie ČCE - hospic CITADELA,"Žerotínova 1421, Valašské Meziříčí, 757 01 Valašské Meziříčí 1",73632783,Diakonie ČCE- hospic CITADELA,"Bc. Naděžda Matochová, DiS.","Žerotínova 1421, Valašské Meziříčí, 757 01 Valašské Meziříčí 1",1.1.2004,pobytové,osoby s jiným zdravotním postižením,"mladí dospělí (19 – 26 let)
dospělí (27 – 64 let)
mladší senioři (65 – 80 let)
starší senioři (nad 80 let)",počet lůžek - 36,poskytuje nepřetržitě,"['571629084', '571629085', 'hospic@citadela.cz', 'http://www.citadela.cz']"
odlehčovací služby,Odlehčovací služby (9223411),Diakonie ČCE - středisko BETANIE - evangelický domov v Náchodě,"Špreňarova 1053, Náchod, 547 01 Náchod 1",46522182,Diakonie ČCE - středisko BETANIE - evangelický domov v Náchodě,Ing. Dušan Šedek,"Špreňarova 1053, Náchod, 547 01 Náchod 1",15.6.1993,pobytové,"osoby s kombinovaným postižením
osoby s tělesným postižením
senioři",- dospělí od 19 let,počet lůžek - 4,poskytuje nepřetržitě,"['491 423 154', 'betanie@diakonie.cz', 'http://www.betanie.diakoniecce.cz']"
odlehčovací služby,Odlehčovací služby (6513256),Diakonie ČCE - středisko BETLÉM,"Císařova 394/27, 691 72 Klobouky u Brna",18510949,Domov Betlém,RNDr. Martin Kříž,"Císařova 394/27, 691 72 Klobouky u Brna",1.1.2007,pobytové,"osoby s tělesným postižením
osoby se zdravotním postižením
senioři","mladí dospělí (19 – 26 let)
dospělí (27 – 64 let)
mladší senioři (65 – 80 let)
starší senioři (nad 80 let)","počet lůžek - 1
1 - maximální okamžitá kapacita služby Max. kapacita je 25 - 30 uživatelů ročně, tj. 1 uživatel na 7 - 14 denním pobytu v zařízení.",poskytuje nepřetržitě,"['519420656', '519419489', '519419848', 'betlem@betlem.org', 'http://www.betlem.org/betlem_domov']"
odlehčovací služby,Odlehčovací služby (6734853),Diakonie ČCE - středisko Praha,"Vlachova 1502/20, Praha 13-Stodůlky, 155 00 Praha 515",62931270,Odlehčovací služba,Irena Kovaříková,"Vlachova 1502/20, Praha 13-Stodůlky, 155 00 Praha 515",1.1.2007,pobytové,osoby s kombinovaným postižením,služba je poskytována klientům od 11 do 35 let.,"počet lůžek - 4
Na čtyřech lůžkách se střídá více uživatelů, kteří mají uzavřenou smlouvu o poskytování s. služeb.","pondělí:
7:00 - 23:59
úterý:
0:00 - 23:59
středa:
0:00 - 23:59
čtvrtek:
0:00 - 23:59
pátek:
0:00 - 17:00
sobota:
neděle:",['neuvedeny']
odlehčovací služby,Odlehčovací služby (5074828),Diakonie ČCE - středisko Rolnička,"Mrázkova 700, Soběslav III, 392 01 Soběslav",47268701,Diakonie ČCE - středisko Rolnička,neuveden,"Světlogorská 2771/3, Tábor, 390 05 Tábor 5",1.5.2018,pobytové,"osoby s kombinovaným postižením
osoby s mentálním postižením",Služba je určena klientům ve věku 15 - 50 let,počet lůžek - 8,poskytuje nepřetržitě,"['381 522 054', 'reditel@rolnicka.cz', 'www.rolnicka.cz']"
odlehčovací služby,Odlehčovací služby (6380698),Diakonie ČCE - středisko v Myslibořicích,"Myslibořice 1, 675 60 Myslibořice",839345,Diakonie ČCE - středisko v Myslibořicích,Ivana Vrzáčková,"Myslibořice 1, 675 60 Myslibořice",1.1.1992,pobytové,"osoby se zdravotním postižením
lidé s demencí od 50 let věku
senioři
kteří splňují podmínky rozhodné pro přiznání starobního důchodu",- dospělí (50 – 64 let) - mladší senioři (65 – 80 let) - starší senioři (nad 80 let),počet klientů - 4,poskytuje nepřetržitě,"['568 834 931', '568 834 930', 'diakonie@domovmysliborice.cz', 'http://www.domovmysliborice.cz']"
odlehčovací služby,Odlehčovací služby (7690738),Diakonie ČCE - středisko v Sobotíně,"Petrov nad Desnou 203, 788 16 Petrov nad Desnou",42766214,Odlehčovací služby,Bc. Gabriela Vávrová,"Petrov nad Desnou 203, 788 16 Petrov nad Desnou",1.1.2007,pobytové,"osoby s chronickým duševním onemocněním
Lidé s projevy demence, o které je jinak pečováno v domácím prostředí.",- dospělí (50 - 64 let); mladší senioři (65 - 80 let); starší senioři (nad 80 let),"počet lůžek - 12
Služba je určena osobám s projevy demence, které mají sníženou soběstačnost a o které je jinak pečováno v jejich domácím prostředí.",poskytuje nepřetržitě,['neuvedeny']
odlehčovací služby,Odlehčovací služby (9320680),Diakonie ČCE - středisko ve Valašském Meziříčí,"Žerotínova 319/21, Valašské Meziříčí, 757 01 Valašské Meziříčí 1",47863561,Odlehčovací služba,Bc. Lenka Kostelná,"Žerotínova 319/21, Valašské Meziříčí, 757 01 Valašské Meziříčí 1",1.1.2019,terénní,"osoby se zdravotním postižením
senioři","mladí dospělí (18 - 26 let), dospělí (27 - 64 let), mladší senioři (65 - 80 let), starší senioři (nad 80 let)","počet klientů - 1
Okamžitá kapacita. Územní působnost: SO ORP Valašské Meziříčí (Valašské Meziříčí, Jarcová, Oznice, Mikulůvka, Krhová, Poličná, Lešná, Zašová, Střítež n. Bečvou, Branky, Police, Podolí, Kelč, Loučka, Choryně, Kunovice, Velká Lhota, Kladeruby.","pondělí:
6:00 - 20:00
úterý:
6:00 - 20:00
středa:
6:00 - 20:00
čtvrtek:
6:00 - 20:00
pátek:
6:00 - 20:00
sobota:
6:00 - 20:00
neděle:
6:00 - 20:00 - včetně svátků","['571 612 466', 'stredisko@diakonievm.cz', 'www.diakonievm.cz']"
odlehčovací služby,Odlehčovací služby (5765917),Diakonie ČCE - středisko Vsetín,"Strmá 34, Vsetín, 755 01 Vsetín 1",73633178,Odlehčovací služba Trnková,Mgr. Pavlína Novotná,"Strmá 34, Vsetín, 755 01 Vsetín 1",1.11.2018,pobytové,senioři,"mladší senioři (60 - 80 let), starší senioři (nad 80 let)",počet lůžek - 4,poskytuje nepřetržitě,"['571 999 400', 'vsetin@diakonie.cz', 'www.diakonievsetin.cz']"
odlehčovací služby,Odlehčovací služby (6473479),Diakonie ČCE - středisko Vsetín,"Strmá 34, Vsetín, 755 01 Vsetín 1",73633178,Devětsil - domácí hospic,Bc. Ilona Ostřanská,"Strmá 26, Vsetín, 755 01 Vsetín 1",1.1.2016,terénní,"osoby s chronickým onemocněním
osoby se zdravotním postižením
senioři","mladí dospělí (19 – 26 let)
dospělí (27 – 64 let)
mladší senioři (65 – 80 let)
starší senioři (nad 80 let)","počet klientů - 2
/daný okamžik. Územní působnost: Správní obvod obce s rozšířenou působností Vsetín - mimo obec Velké Karlovice, Karolinka, Nový Hrozenkov. Správní obvod obce s rozšířenou působností Vizovice - mimo obec Březová, Hrobice, Podkopná Lhota, Trnava, Veselá, Zádveřice-Raková. Správní obvod obce s rozšířenou působností Valašské Klobouky - mimo obec Brumov-Bylnice, Drnovice, Haluzice, Jestřabí, Křekov, Loučka, Návojná, Nedašov, Nedašova Lhota, Rokytnice, Štítná nad Vláří-Popov, Tichov, Újezd, Vlachova Lhota, Vlachovice, Vysoké Pole. Správní obvod obce s rozšířenou působností Valašské Meziříčí - mimo obec Branky, Choryně, Kelč, Kladeruby, Kunovice, Lešná, Loučka, Podolí, Police, Střítež nad Bečvou, Valašské Meziříčí, Velká Lhota, Zašová.",poskytuje nepřetržitě,"['734 647 978', 'ostranska.vsetin@diakonie.cz', 'http://diakonievsetin.cz', 'm4h8aki']"
odlehčovací služby,Odlehčovací služby (4825919),Diakonie ČCE - středisko Vsetín,"Strmá 34, Vsetín, 755 01 Vsetín 1",73633178,POHODA odlehčovací služba,Mgr. Jitka Adámková,"Ohrada 1864, Vsetín, 755 01 Vsetín 1",1.9.2015,pobytové,senioři,"mladší senioři (65 – 80 let)
starší senioři (nad 80 let)",počet lůžek - 4,poskytuje nepřetržitě,"['571 437 846', 'adamkova.vsetin@diakonie.cz', 'http://diakonievsetin.cz']"
odlehčovací služby,Odlehčovací služby (2060411),Diakonie ČCE - středisko Západní Čechy,"Prokopova 207/25, Plzeň 3-Jižní Předměstí, 301 00 Plzeň 1",45331154,Pírko pro osoby s postižením,Bc. Monika Čermáková,"Merklín 194, 334 52 Merklín u Přeštic",1.1.2017,pobytové,"osoby s jiným zdravotním postižením
lidé s poruchou autistického spektra",- starší děti (od 15 let); - dorost (16 - 18 let); - mladí dospělí (19 - 26 let); - dospělí (27 - 64 let),"počet lůžek - 2
okamžitá kapacita",poskytuje nepřetržitě,"['773 683 191', 'pirko@diakoniezapad.cz', 'www.diakoniezapad.cz']"
odlehčovací služby,Odlehčovací služby (3984338),Diakonie ČCE - středisko Západní Čechy,"Prokopova 207/25, Plzeň 3-Jižní Předměstí, 301 00 Plzeň 1",45331154,Pírko pro osoby s postižením,Bc. Monika Čermáková,"Merklín 194, 334 52 Merklín u Přeštic",1.1.2007,pobytové,"osoby s kombinovaným postižením
osoby s mentálním postižením
osoby se zdravotním postižením","- starší děti (15 let), - dorost (16 - 18 let), - mladí dospělí (19 - 26 let), - dospělí (27 - 64 let).","počet lůžek - 2
Jedná se o okamžitou kapacitu, z toho počet lůžek vyhrazených pro osoby s poruchou autistického spektra jsou 2 lůžka. Denní kapacita jsou 2 lůžka.",poskytuje nepřetržitě,"['773 683 191', 'pirko@diakoniezapad.cz', 'www.diakoniezapad.cz']"
odlehčovací služby,Odlehčovací služby (5289200),Diecézní charita Brno,"třída Kpt. Jaroše 1928/9, Brno-střed, Černá Pole, 602 00 Brno 2",44990260,Adapta Jihlava - odlehčovací služba,Bc. Jana Nagyová,"Mahenova 4686/16, Jihlava, 586 01 Jihlava 1",1.1.2014,pobytové,"osoby s kombinovaným postižením
osoby s mentálním postižením
osoby s tělesným postižením","mladší děti (7 –10 let)
starší děti (11 – 15 let)
dorost (16 – 18 let)
mladí dospělí (19 – 26 let)
dospělí (27 – 64 let)","počet lůžek - 2
víkendový pobyt jednou za měsíc od pátku 15:00 h do neděle 16:00 h, termíny na http://jihlava.charita.cz/adapta/","pondělí:
úterý:
středa:
čtvrtek:
pátek:
15:00 - 23:59 - víkendový pobyt jednou za měsíc, termíny na http://jihlava.charita.cz/adapta/
sobota:
0:00 - 23:59 - víkendový pobyt jednou za měsíc, termíny na http://jihlava.charita.cz/adapta/
neděle:
0:00 - 16:00 - víkendový pobyt jednou za měsíc, termíny na http://jihlava.charita.cz/adapta/",['neuvedeny']
odlehčovací služby,Odlehčovací služby (6280936),Diecézní charita Brno,"třída Kpt. Jaroše 1928/9, Brno-střed, Černá Pole, 602 00 Brno 2",44990260,Odlehčovací služba Oblastní charity Tišnov,Mgr. Lenka Sodomková,"Ráboňova 116, Tišnov, 666 01 Tišnov 1",1.12.2009,terénní,"osoby s chronickým onemocněním
osoby se zdravotním postižením
senioři",Služba je poskytována osobám od 18 let.,"počet klientů - 10
jedná se o maximální okamžitou kapacitu","pondělí:
7:00 - 16:00
úterý:
7:00 - 16:00
středa:
7:00 - 16:00
čtvrtek:
7:00 - 16:00
pátek:
7:00 - 16:00 - V mimořádných případech lze službu poskytnout i o víkendu a mimo pracovní dobu.
sobota:
neděle:","['739 389 132', '731 626 074', 'lenka.sodomkova@tisnov.charita.cz', 'www.tisnov.charita.cz']"
odlehčovací služby,Odlehčovací služby (8756952),Diecézní charita Brno,"třída Kpt. Jaroše 1928/9, Brno-střed, Černá Pole, 602 00 Brno 2",44990260,Odlehčovací služba Domácího hospice sv. Zdislavy Třebíč,Bc. Eva Vráblová,"Gen. Sochora 705, Nové Dvory, 674 01 Třebíč 1",15.8.2012,terénní,"osoby s chronickým onemocněním
Jedná se zvláště o onkologicky a jinak nemocné v terminálním stádiu nemoci.",bez omezení věku,"počet klientů - 6
max. okamžitá kapacita","pondělí:
7:00 - 21:00 - Službu lze poskytnout individ. i mimo provozní dobu na zákl. dohody s uživatelem
úterý:
7:00 - 21:00 - Službu lze poskytnout individ. i mimo provozní dobu na zákl. dohody s uživatelem
středa:
7:00 - 21:00 - Službu lze poskytnout individ. i mimo provozní dobu na zákl. dohody s uživatelem
čtvrtek:
7:00 - 21:00 - Službu lze poskytnout individ. i mimo provozní dobu na zákl. dohody s uživatelem
pátek:
7:00 - 21:00 - Službu lze poskytnout individ. i mimo provozní dobu na zákl. dohody s uživatelem
sobota:
7:00 - 21:00 - Službu lze poskytnout individ. i mimo provozní dobu na zákl. dohody s uživatelem
neděle:
7:00 - 21:00 - Službu lze poskytnout individ. i mimo provozní dobu na zákl. dohody s uživatelem","['733 670 166', 'eva.hanakova@trebic.charita.cz', 'http://www.trebic.charita.cz']"
odlehčovací služby,Odlehčovací služby (4578503),Diecézní charita Brno,"třída Kpt. Jaroše 1928/9, Brno-střed, Černá Pole, 602 00 Brno 2",44990260,Bárka - domácí hospic Jihlava,Jana Sochorová,"Polenská 254/1, Jihlava, 586 01 Jihlava 1",5.4.2018,terénní,"osoby s chronickým onemocněním
Osoby s chronickým nebo nevyléčitelným onemocněním v terminálním stádiu.","mladí dospělí (19 – 26 let)
dospělí (27 – 64 let)
mladší senioři (65 – 80 let)
starší senioři (nad 80 let)","počet klientů - 5
okamžitá kapacita","pondělí:
7:00 - 15:30 - Po-Ne lze službu poskytn.mimo provozní dobu dle ind.potřeby uživat. a kapac. sl.
úterý:
7:00 - 15:30 - Po-Ne lze službu poskytn.mimo provozní dobu dle ind.potřeby uživat. a kapac. sl.
středa:
7:00 - 15:30 - Po-Ne lze službu poskytn.mimo provozní dobu dle ind.potřeby uživat. a kapac. sl.
čtvrtek:
7:00 - 15:30 - Po-Ne lze službu poskytn.mimo provozní dobu dle ind.potřeby uživat. a kapac. sl.
pátek:
7:00 - 15:30 - Po-Ne lze službu poskytn.mimo provozní dobu dle ind.potřeby uživat. a kapac. sl.
sobota:
neděle:","['567563671', '739 389 254', 'dhp.jihlava@jihlava.charita.cz', 'http://www.jihlava.charita.cz']"
odlehčovací služby,Odlehčovací služby (7981302),Diecézní charita Brno,"třída Kpt. Jaroše 1928/9, Brno-střed, Černá Pole, 602 00 Brno 2",44990260,Domácí hospicová péče Žďár nad Sázavou,Mgr. Jana Kincová Křížková,"Horní 1682/28, 591 01 Žďár nad Sázavou 1",1.9.2018,terénní,osoby s chronickým onemocněním,bez omezení věku,počet klientů - 4,"pondělí:
7:00 - 15:30 - Služba může být poskytována i mimo provozní dobu na základě individuální dohody
úterý:
7:00 - 15:30 - Služba může být poskytována i mimo provozní dobu na základě individuální dohody
středa:
7:00 - 15:30 - Služba může být poskytována i mimo provozní dobu na základě individuální dohody
čtvrtek:
7:00 - 15:30 - Služba může být poskytována i mimo provozní dobu na základě individuální dohody
pátek:
7:00 - 15:30 - Služba může být poskytována i mimo provozní dobu na základě individuální dohody
sobota:
neděle:","['777 755 469', '566631643', 'jana.kincova@zdar.charita.cz', 'http://www.zdar.charita.cz']"
odlehčovací služby,Odlehčovací služby (4574664),Diecézní charita Brno,"třída Kpt. Jaroše 1928/9, Brno-střed, Černá Pole, 602 00 Brno 2",44990260,DLBsH Rajhrad,Bc. Marie Konzalová,"Jiráskova 47, 664 61 Rajhrad",1.1.2007,pobytové,"osoby s chronickým onemocněním
odlehčovací služby v hospici sv.Josefa jsou určeny nemocným v závěru života.
osoby s tělesným postižením
osoby se zdravotním postižením
senioři
Odlehčovací služby pro seniory jsou zaměřeny na rodiny, které se starají o příbuzného doma a potřebují dočasnou hospitalizaci ve zdravotnickém zařízení pro odlehčení rodině, jinému zdravotnickému zařízení nebo pro přehodnocení a přenastavení léčby.",bez omezení věku,počet lůžek - 50,poskytuje nepřetržitě,"['547232223', '547232247', 'hospic.rajhrad@charita.cz', 'http://www.rajhrad.charita.cz']"
odlehčovací služby,Odlehčovací služby (9062346),"Digitus Mise, z. ú.","Pražská 904/28, 268 01 Hořovice",24798983,"Digitus Mise, z. ú. - Hořovice",Hana Anýžová,"Pražská 904/28, 268 01 Hořovice",1.7.2011,terénní,"osoby s chronickým onemocněním
osoby s jiným zdravotním postižením
osoby s kombinovaným postižením
osoby s tělesným postižením
osoby se zdravotním postižením
senioři","mladí dospělí (19 – 26 let)
dospělí (27 – 64 let)
mladší senioři (65 – 80 let)
starší senioři (nad 80 let)","počet klientů - 10
okamžitá kapacita 2 klienti","pondělí:
7:00 - 19:00
úterý:
7:00 - 19:00
středa:
7:00 - 19:00
čtvrtek:
7:00 - 19:00
pátek:
7:00 - 19:00
sobota:
neděle:","['311 517 265', 'digitus@digitusmise.com', 'digitus@osdigitus.cz', 'www.digitusmise.com']"
odlehčovací služby,Odlehčovací služby (2690658),"Dobromysl, z. ú.","Bezručova 928, Beroun-Město, 266 01 Beroun 1",24198412,"Dobromysl, z. ú. - OS","Petra Matějková, DiS.","Bezručova 928, Beroun-Město, 266 01 Beroun 1",1.2.2012,pobytové,"osoby s kombinovaným postižením
osoby s mentálním postižením",Od 1 roku věku,"počet lůžek - 11
Služba je poskytována jako pobytová služba v termínech uvedených na webových stránkách poskytovatele.",poskytuje nepřetržitě,['neuvedeny']
odlehčovací služby,Odlehčovací služby (9899403),Domácí hospic Athelas - středisko Husitské diakonie,"Budějovická 204/13, Budějovické Předměstí, 397 01 Písek 1",3663353,Domácí hospic Athelas - středisko Husitské diakonie,Mgr. Daniela Nechvátalová,"Budějovická 204/13, Budějovické Předměstí, 397 01 Písek 1",20.3.2015,terénní,"osoby s jiným zdravotním postižením
osoby se zdravotním postižením
senioři",od 18 let věku,"počet klientů - 4
jedná se o denní kapacitu","pondělí:
9:00 - 15:00
úterý:
9:00 - 15:00
středa:
9:00 - 15:00
čtvrtek:
9:00 - 15:00
pátek:
9:00 - 15:00
sobota:
neděle:","['774858487', 'kontakt@hospic-pisek.cz', 'www.hospic-pisek.cz']"
odlehčovací služby,Odlehčovací služby (6065887),"Domácí hospic Jordán, o.p.s.","Bydlinského 2964, Tábor, 390 02 Tábor 2",28120981,ODLEHČOVACÍ SLUŽBY,Mgr. Eva Špallová,"Bydlinského 2964, Tábor, 390 02 Tábor 2",1.12.2010,terénní,"osoby s chronickým onemocněním
osoby s jiným zdravotním postižením
osoby se zdravotním postižením
senioři",od 18 let věku,"počet klientů - 12
Jedná se o maximální denní kapacitu.","pondělí:
7:30 - 17:00 - výjimečně i v jiný čas po předchozí domluvě s poskytovatelem
úterý:
7:30 - 17:00 - výjimečně i v jiný čas po předchozí domluvě s poskytovatelem
středa:
7:30 - 17:00 - výjimečně i v jiný čas po předchozí domluvě s poskytovatelem
čtvrtek:
7:30 - 17:00 - výjimečně i v jiný čas po předchozí domluvě s poskytovatelem
pátek:
7:30 - 17:00 - výjimečně i v jiný čas po předchozí domluvě s poskytovatelem
sobota:
neděle:","['722 012 898', 'kontakt@hospicjordan.cz', 'www.hospicjordan.cz']"
odlehčovací služby,Odlehčovací služby (5533567),"Domácí hospic Vysočina, o.p.s.","Vratislavovo náměstí 115, 592 31 Nové Město na Moravě",70803978,"Domácí hospic Vysočina, o.p.s., Středisko hospicové péče Jihlava",Mgr. Blanka Netolická,"Žižkova 1872/89, Jihlava, 586 01 Jihlava 1",1.1.2010,terénní,"osoby s chronickým onemocněním
osoby s jiným zdravotním postižením
osoby v krizi
jedná se o pečující fyzické osoby
senioři","mladí dospělí (19 – 26 let)
dospělí (27 – 64 let)
mladší senioři (65 – 80 let)
starší senioři (nad 80 let)","počet klientů - 4
Odlehčovací služby pro domácí hospicovou péči: 3 (maximální počet klientů obsloužených za 1 den) Odlehčovací služby pro seniory, chronicky nemocné a osoby s jiným zdravotním postižením: 1(maximální počet klientů obsloužených za 1 den)",poskytuje nepřetržitě,"['567 210 997', 'blanka.netolicka@hhv.cz', 'www.hhv.cz']"
odlehčovací služby,Odlehčovací služby (1676648),"Domácí hospic Vysočina, o.p.s.","Vratislavovo náměstí 115, 592 31 Nové Město na Moravě",70803978,"Domácí hospic Vysočina, o.p.s., Středisko hospicové péče Nové Město na Moravě",Vojtěch Zikmund,"Vratislavovo náměstí 115, 592 31 Nové Město na Moravě",1.1.2010,terénní,"osoby s chronickým onemocněním
osoby s jiným zdravotním postižením
osoby v krizi
jedná se o pečující fyzické osoby
senioři","mladí dospělí (19 – 26 let)
dospělí (27 – 64 let)
mladší senioři (65 – 80 let)
starší senioři (nad 80 let)","počet klientů - 6
Kapacita odlehčovací služby pro domácí hospicovou péči: 3 (maximální počet klientů obsloužených v jednom dni) kapapcita odlehčovacích služeb pro seniory, chronicky nemocné a osoby s jiným zdravotním postižením: 1 (maximální počet klientů obsloužených v jednom dni). Terénní služba je poskytována dle potřeb uživatelů na území Nového Města na Moravě a v jeho okolí do vzdálenosti 25 km. Kapacita odlehčovací služby pro domácí hospicovou péči: 1 (maximální počet klientů obsloužených v jednom dni) kapapcita odlehčovacích služeb pro seniory, chronicky nemocné a osoby s jiným zdravotním postižením: 1 (maximální počet klientů obsloužených v jednom dni). Terénní služba je poskytována dle potřeb uživatelů na území města Velké Meziříčí a v jeho okolí do vzdálenosti 25 km.",poskytuje nepřetržitě,"['739507587', '566 612 189', 'lea.chmelarova@hospicvysocina.cz', 'vojtech.zikmund@hospicvysocina.cz', 'www.hospicvysocina.cz']"
odlehčovací služby,Odlehčovací služby (8364054),"Domov - plzeňská hospicová péče, z.ú.","Jižní Svahy 811, 330 27 Vejprnice",5328586,Domov - odlehčovací služby,Jana Červánková,"Sušická 141/33, Plzeň 2-Slovany, Lobzy, 326 00 Plzeň 26",1.5.2018,terénní,"osoby se zdravotním postižením
senioři",bez omezení věku,"počet klientů - 1
Jedná se o okamžitou kapacitu služby.","pondělí:
7:00 - 21:00
úterý:
7:00 - 21:00
středa:
7:00 - 21:00
čtvrtek:
7:00 - 21:00
pátek:
7:00 - 21:00
sobota:
8:00 - 20:00
neděle:
8:00 - 20:00","['733 300 455', 'hospic@domov-plzen.cz']"
odlehčovací služby,Odlehčovací služby (1905494),Domov Arreta o.p.s.,"Příčná 413/15, Třebeš, 500 11 Hradec Králové 11",26012294,Domov Arreta o.p.s.,Bc. Martina Šejvlová,"Jungmannova 1437/31, Pražské Předměstí, 500 02 Hradec Králové 2",1.1.2007,pobytové,"osoby s chronickým onemocněním
Vyjma osob trvale upoutaných na lůžko a osob se smyslovým postižením.
osoby se zdravotním postižením
Vyjma osob trvale upoutaných na lůžko a osob se smyslovým postižením.
senioři
Vyjma osob trvale upoutaných na lůžko a osob se smyslovým postižením.","mladí dospělí (19 – 26 let)
dospělí (27 – 64 let)
mladší senioři (65 – 80 let)
starší senioři (nad 80 let)",počet lůžek - 22,poskytuje nepřetržitě,"['495523414', '495523414', 'domov@arreta.cz', 'www.arreta.cz']"
